Cluster,feature,term,df,sumsq,meansq,statistic,p.value,p.adjusted
C3,RBD+S1+_fraction,timepoint,9,0.054913112665427005,0.006101456962825223,2.7635248817716063,0.005153204871303349,0.029630928009994256
C3,RBD+S1+_fraction,CodeID,20,0.03372838829609071,0.0016864194148045355,0.7638277287392455,0.7526860604847547,0.8051990414488073
C3,RBD+S1+_fraction,Residuals,146,0.32234655184338756,0.002207853094817723,NA,NA,NA
C4,cluster_fraction_total_CD19+,timepoint,9,0.011242306645087992,0.0012491451827875547,5.362550550017427,2.447224677667219e-6,4.736563892259133e-6
C4,cluster_fraction_total_CD19+,CodeID,20,0.1409836695741744,0.007049183478708721,30.261976959768834,3.4723166428053073e-42,2.314877761870205e-41
C4,cluster_fraction_total_CD19+,Residuals,147,0.03424197872953828,2.329386308131856e-4,NA,NA,NA
C4,RBD+S1+_fraction,timepoint,9,6.53680606422227e-5,7.263117849135856e-6,5.056654408674058,6.00074753103774e-6,5.5206877285547206e-5
C4,RBD+S1+_fraction,CodeID,20,4.377488423217723e-5,2.1887442116088615e-6,1.523825345668676,0.08119016140495959,0.23342171403925882
C4,RBD+S1+_fraction,Residuals,147,2.1114322584345535e-4,1.4363484751255467e-6,NA,NA,NA
C5,cluster_fraction_total_CD19+,timepoint,9,8.418859454000432e-4,9.354288282222702e-5,3.2639961685514214,0.001198284625160082,0.00199714104193347
C5,cluster_fraction_total_CD19+,CodeID,20,0.0193517155879907,9.67585779399535e-4,33.76201568115981,6.012216732649392e-45,6.012216732649392e-44
C5,cluster_fraction_total_CD19+,Residuals,147,0.004212873748859224,2.8659005094280437e-5,NA,NA,NA
C5,RBD+S1+_fraction,timepoint,9,0.02224049325363481,0.0024711659170705345,16.75084866307502,9.257768286037385e-19,2.1292867057885985e-17
C5,RBD+S1+_fraction,CodeID,20,0.007913987126896397,3.9569935634481987e-4,2.6822561724490956,3.7047661278343544e-4,0.002434560598291147
C5,RBD+S1+_fraction,Residuals,147,0.021686148392596322,1.475248189972539e-4,NA,NA,NA
C6,cluster_fraction_total_CD19+,timepoint,9,0.003246731246336637,3.6074791625962635e-4,7.255613627974988,1.1065063048657745e-8,2.3710849389980882e-8
